DataId,DiagramId,TypeId,Regions,RegionType,Zindex,ColorCode,UnitLength
1,1,1,"9,11,8,110","R",1,"#e40429",1.000
4,1,1,"962,11,8,110","R",1,"#e40429",1.000
7,1,2,"28,52,36,74|36,52,28,74","P",1,"#69b643",1.000
8,1,2,"950,52,942,74|942,52,950,74","P",1,"#69b643",1.000
9,1,4,"39,18,4,96","R",1,"#f82add",1.000
10,1,4,"937,18,4,96","R",1,"#f82add",1.000
11,1,5,"53,18,4,96","R",1,"#f7f406",1.000
12,1,5,"923,18,4,96","R",1,"#f7f406",1.000
13,1,6,"61,18,51,5","R",1,"#ecfa06",3.000
15,1,6,"61, 109, 51, 5","R",1,"#ecfa06",3.000
16,1,6,"426, 18, 40, 5","R",1,"#ecfa06",3.000
17,1,6,"426, 109, 40, 5","R",1,"#ecfa06",3.000
18,1,6,"869, 18, 50, 5","R",1,"#ecfa06",3.000
19,1,6,"869, 109, 50, 5","R",1,"#ecfa06",3.000
23,1,3,"17,11,14,6","R",1,"#affd06",1.000
24,1,3,"31,11,14,6","R",1,"#affd06",1.000
25,1,3,"45,11,14,6","R",1,"#affd06",1.000
26,1,3,"59,11,14,6","R",1,"#affd06",1.000
27,1,3,"73,11,14,6","R",1,"#affd06",1.000
28,1,3,"87,11,14,6","R",1,"#affd06",1.000
29,1,3,"101,11,14,6","R",1,"#affd06",1.000
30,1,3,"115,11,14,6","R",1,"#affd06",1.000
31,1,3,"129,11,14,6","R",1,"#affd06",1.000
32,1,3,"143,11,14,6","R",1,"#affd06",1.000
33,1,3,"157,11,14,6","R",1,"#affd06",1.000
34,1,3,"171,11,14,6","R",1,"#affd06",1.000
35,1,3,"185,11,14,6","R",1,"#affd06",1.000
36,1,3,"199,11,14,6","R",1,"#affd06",1.000
37,1,3,"213,11,14,6","R",1,"#affd06",1.000
38,1,3,"227,11,14,6","R",1,"#affd06",1.000
39,1,3,"241,11,14,6","R",1,"#affd06",1.000
40,1,3,"255,11,14,6","R",1,"#affd06",1.000
41,1,3,"269,11,14,6","R",1,"#affd06",1.000
42,1,3,"283,11,14,6","R",1,"#affd06",1.000
43,1,3,"297,11,14,6","R",1,"#affd06",1.000
44,1,3,"311,11,14,6","R",1,"#affd06",1.000
45,1,3,"325,11,14,6","R",1,"#affd06",1.000
46,1,3,"339,11,14,6","R",1,"#affd06",1.000
47,1,3,"353,11,14,6","R",1,"#affd06",1.000
48,1,3,"367,11,14,6","R",1,"#affd06",1.000
49,1,3,"381,11,14,6","R",1,"#affd06",1.000
50,1,3,"395,11,14,6","R",1,"#affd06",1.000
51,1,3,"409,11,14,6","R",1,"#affd06",1.000
52,1,3,"423,11,14,6","R",1,"#affd06",1.000
53,1,3,"437,11,14,6","R",1,"#affd06",1.000
54,1,3,"451,11,14,6","R",1,"#affd06",1.000
55,1,3,"465,11,14,6","R",1,"#affd06",1.000
56,1,3,"479,11,14,6","R",1,"#affd06",1.000
57,1,3,"493,11,14,6","R",1,"#affd06",1.000
58,1,3,"507,11,14,6","R",1,"#affd06",1.000
59,1,3,"521,11,14,6","R",1,"#affd06",1.000
60,1,3,"535,11,14,6","R",1,"#affd06",1.000
61,1,3,"549,11,14,6","R",1,"#affd06",1.000
62,1,3,"563,11,14,6","R",1,"#affd06",1.000
63,1,3,"577,11,14,6","R",1,"#affd06",1.000
64,1,3,"591,11,14,6","R",1,"#affd06",1.000
65,1,3,"605,11,14,6","R",1,"#affd06",1.000
66,1,3,"619,11,14,6","R",1,"#affd06",1.000
67,1,3,"633,11,14,6","R",1,"#affd06",1.000
68,1,3,"647,11,14,6","R",1,"#affd06",1.000
69,1,3,"661,11,14,6","R",1,"#affd06",1.000
70,1,3,"675,11,14,6","R",1,"#affd06",1.000
71,1,3,"689,11,14,6","R",1,"#affd06",1.000
72,1,3,"703,11,14,6","R",1,"#affd06",1.000
73,1,3,"717,11,14,6","R",1,"#affd06",1.000
74,1,3,"731,11,14,6","R",1,"#affd06",1.000
75,1,3,"745,11,14,6","R",1,"#affd06",1.000
76,1,3,"759,11,14,6","R",1,"#affd06",1.000
77,1,3,"773,11,14,6","R",1,"#affd06",1.000
78,1,3,"787,11,14,6","R",1,"#affd06",1.000
79,1,3,"801,11,14,6","R",1,"#affd06",1.000
80,1,3,"815,11,14,6","R",1,"#affd06",1.000
81,1,3,"829,11,14,6","R",1,"#affd06",1.000
82,1,3,"843,11,14,6","R",1,"#affd06",1.000
83,1,3,"857,11,14,6","R",1,"#affd06",1.000
84,1,3,"871,11,14,6","R",1,"#affd06",1.000
85,1,3,"885,11,14,6","R",1,"#affd06",1.000
86,1,3,"899,11,14,6","R",1,"#affd06",1.000
